TRAC Assigned Identifier for Individual,State,Detention Facility,Nationality,Gender,Book-In Date,Book-Out Date,Reason for Book-Out
99546,Illinois ,MCHENRY COUNTY SHERIFF'S ,EL SALVADOR ,Male ,13-Nov-12,14-Dec-12,Transferred
99546,Louisiana ,JENA/LASALLE DETENTION FACILITY ,EL SALVADOR ,Male ,14-Dec-12,18-Dec-12,Removed
99591,Illinois ,CHICAGO HOLD ROOM ,GUATEMALA ,Male ,12-Dec-12,12-Dec-12,Transferred
99591,Wisconsin ,KENOSHA COUNTY JAIL ,GUATEMALA ,Male ,12-Dec-12,21-Dec-12,Transferred
99591,Illinois ,BROADVIEW SERVICE STAGING ,GUATEMALA ,Male ,21-Dec-12,21-Dec-12,Transferred
99591,Louisiana ,JENA/LASALLE DETENTION FACILITY ,GUATEMALA ,Male ,21-Dec-12,27-Dec-12,Removed
99836,Illinois ,CHICAGO HOLD ROOM ,MEXICO ,Male ,6-Dec-12,6-Dec-12,Transferred
99836,Illinois ,TRI-COUNTY JAIL ,MEXICO ,Male ,6-Dec-12,28-Dec-12,Removed
99938,Illinois ,BROADVIEW SERVICE STAGING ,MEXICO ,Male ,29-Nov-12,29-Nov-12,Transferred
99938,Illinois ,TRI-COUNTY JAIL ,MEXICO ,Male ,29-Nov-12,7-Dec-12,Removed
100171,Illinois ,BROADVIEW SERVICE STAGING ,MEXICO ,Male ,7-Dec-12,7-Dec-12,Transferred
100171,Wisconsin ,"DODGE COUNTY JAIL, JUNEAU ",MEXICO ,Male ,7-Dec-12,14-Dec-12,Removed
100206,Illinois ,CHICAGO HOLD ROOM ,MEXICO ,Male ,14-Dec-12,14-Dec-12,Transferred
100206,Illinois ,MCHENRY COUNTY SHERIFF'S ,MEXICO ,Male ,14-Dec-12,21-Dec-12,Transferred
100206,Illinois ,BROADVIEW SERVICE STAGING ,MEXICO ,Male ,21-Dec-12,21-Dec-12,Removed
100742,Illinois ,CHICAGO HOLD ROOM ,EL SALVADOR ,Male ,9-Oct-12,9-Oct-12,Transferred
